file_name,composer,composer_label,pitch_entropy,rhythmic_entropy,average_interval_size,average_vertical_density,average_polyphonic_voices,fractal_dimension,num_notes,pitch_std,pitch_range,number_of_instruments,unique_note_values,average_beat_gap,most_common_note,average_note_length,largest_leap,orch_outer_voice_motion_index,orch_harmonic_change_entropy,orch_global_npvi
2307.csv,Bach,0,3.3174,4.9627,10.2922,3.0446,1.0,1.2648,795,0.5558636910893398,5.75,1,13,0.2002518891687657,0.5761006289308176,0.6144654088050314,5.5,42.85714285714285,2.3947274686980182,30.083326286224796
2204.csv,Bach,0,3.1188,4.065,2.9733,1.0,1.0,0.9125,301,0.3069718677252867,2.75,1,6,0.45,0.5116279069767442,0.4551495016611295,2.75,0.0,2.134782153752558,35.08395990124973
2283.csv,Bach,0,3.2292,4.9336,13.4318,2.8414,1.8626,1.4294,2326,0.7224699297971149,12.8333333333,2,15,0.2462365591397849,0.6418744625967326,0.7317103754652455,12.656249999967,50.12285012285013,3.053343870172712,19.07106349623791
2213.csv,Bach,0,3.2386,4.9277,11.4894,2.5532,1.0,1.2616,753,0.5441040567711687,9.85,1,53,0.1616356382978723,0.4913678618857902,0.4248063302346176,9.791666666667,41.66666666666667,3.018153539956,105.4229841916744
2292.csv,Bach,0,3.1076,4.7653,14.281,2.5895,1.0,1.1911,606,0.3133683352413751,1.9083333333333,1,14,0.1554545454545454,0.66996699669967,0.4127612761276065,1.75,50.0,2.939115172252282,92.20511953787788
2222.csv,Bach,0,3.0639,3.9445,6.1175,1.1318,1.0,1.0668,1048,0.3497006059342272,1.5,1,3,0.6170009551098377,0.6221374045801527,0.7290076335877863,1.5,100.0,2.6003915647102542,22.594181816675103
2198.csv,Bach,0,3.2499,4.9102,10.2895,3.6397,1.0,1.2538,747,0.6804242293904074,9.9375,1,14,0.1983914209115281,0.5327978580990629,0.7412985274431058,9.5,35.338345864661655,2.384220472374823,28.36996330138299
2200.csv,Bach,0,3.241,4.9314,12.4435,2.9202,1.0,1.1929,745,0.423591846770928,3.75,1,14,0.1795194892473118,0.4684563758389262,0.5118568232661825,3.75,46.66666666666666,3.0554957629343877,93.67485368045732
2209.csv,Bach,0,3.2513,4.9414,11.906,3.621,1.0,1.3222,1309,0.6460974187472445,7.75,1,31,0.1744170489296636,0.4751718869365928,0.6310064935065294,7.75,45.614035087719294,3.307772434378407,89.75920186404812
2288.csv,Bach,0,3.3254,4.4115,4.8261,1.0,1.0,1.0888,760,0.0414785817992336,0.75,1,3,0.2519762845849802,0.9947368421052633,0.2425438596487894,0.75,0.0,2.6688456858351386,22.701605929311626
2218.csv,Bach,0,3.0752,4.0723,4.2853,1.0362,1.0,1.0822,972,0.1506668358918133,1.125,1,5,0.1964469618949536,0.5390946502057613,0.2196502057613168,1.0,0.0,2.432950284755496,35.50834823470362
