file_name,composer,composer_label,pitch_entropy,rhythmic_entropy,average_interval_size,average_vertical_density,average_polyphonic_voices,fractal_dimension,num_notes,pitch_std,pitch_range,number_of_instruments,unique_note_values,average_beat_gap,most_common_note,average_note_length,largest_leap,orch_outer_voice_motion_index,orch_harmonic_change_entropy,orch_global_npvi
2677.csv,Beethoven,1,3.2332,5.2008,10.7932,3.1328,1.0,1.4623,3459,0.723159296195826,7.874999999997,1,14,0.2559282822440717,0.4648742411101474,0.8348420786346387,7.749999999997,17.892156862745097,2.9910087011771824,27.676494965769344
2607.csv,Beethoven,1,3.3084,5.1706,9.4251,2.835,1.0,1.4481,4409,0.8026171919659142,8.9583333333367,1,57,0.2468239564428312,0.6253118621002495,0.7461064489307585,8.500000000003,34.31855500821018,3.2120753017069497,30.724954076817685
2471.csv,Beethoven,1,3.3436,5.1521,9.541,2.7478,1.0,1.3612,1465,0.4708807660471826,3.9270833333367,1,17,0.2226775956284153,0.6327645051194539,0.692235494881162,3.750000000003,33.33333333333333,3.0840445726500136,35.08658220753652
2504.csv,Beethoven,1,3.0815,4.815,11.197,4.2852,2.8736,1.513,5535,0.7790234596920342,15.75,4,15,0.1893747741235995,0.5074977416440831,0.8150406504065041,15.5,54.9171270718232,2.8756847613779657,26.000740742814912
2568.csv,Beethoven,1,3.1998,5.1149,12.5779,2.8153,1.0,1.5503,4012,0.4026323540255005,7.4166666666633,1,14,0.1444776863625031,0.5755234297108675,0.4341662512458216,6.999999999997,70.22727272727273,3.2235745714238577,19.161099150030655
2480.csv,Beethoven,1,3.2374,5.2021,12.1863,2.6928,2.2087,1.5291,4103,0.5287682025892974,8.86458333333,3,19,0.2231838127742564,0.3297587131367292,0.5920997847098886,8.499999999997,44.94949494949495,3.0149351043864505,30.946878774235863
2410.csv,Beethoven,1,3.1945,5.0129,9.0936,2.9877,1.0,1.3967,2094,0.5613359370195469,7.9374999999966995,1,17,0.1853798375537506,0.3853868194842407,0.594162886022986,7.499999999997,41.22562674094708,2.2318140730321554,31.008892618746238
2537.csv,Beethoven,1,3.0016,4.7272,8.8449,1.9138,1.0,1.3875,2354,0.4448888446470245,3.9166666666634,1,18,0.296217594560136,0.4167374681393373,0.5902895780230615,3.666666666663,66.40316205533597,2.7951273804080023,21.93316736593716
2522.csv,Beethoven,1,3.0934,5.1132,13.1528,3.3966,1.6132,1.4158,4431,0.7226146067938914,12.7395833333,2,14,0.3510158013544018,0.6653125705258407,1.061721864890638,12.499999999967,47.54464285714285,2.421394428318906,36.29583395574993
2443.csv,Beethoven,1,3.4088,5.6243,13.6233,3.5586,1.0,1.5903,5188,0.7441473913437653,6.875000000003,1,44,0.2156352419510314,0.3245952197378566,0.90615763942502,5.500000000003,50.86092715231788,3.552944111952048,23.901897082549155
2325.csv,Beethoven,1,3.3616,5.6351,10.1552,3.3226,1.0,1.5148,6591,0.8198331324242278,5.9062499999967,1,36,0.2396813353566009,0.5519648004855106,0.7893939968635403,5.749999999997,48.23369565217392,3.3099341784004306,27.8348564457706
