file_name,composer,composer_label,pitch_entropy,rhythmic_entropy,average_interval_size,average_vertical_density,average_polyphonic_voices,fractal_dimension,num_notes,pitch_std,pitch_range,number_of_instruments,unique_note_values,average_beat_gap,most_common_note,average_note_length,largest_leap,orch_outer_voice_motion_index,orch_harmonic_change_entropy,orch_global_npvi
1751.csv,Schubert,9,3.4603,5.308,10.7748,3.5864,1.0,1.4956,4304,1.0762976906498207,6.9666666666667,1,15,0.3274459679293516,0.2674256505576208,1.0467239776951602,6.9000000000001,38.66809881847476,1.886082694254492,44.410727155179934
1775.csv,Schubert,9,3.4436,5.603,11.939,2.514,1.0,1.6088,7495,0.5175952056013514,7.9666666666667,1,16,0.1921537229783827,0.5260840560373582,0.4536513231041155,7.666666666667,20.253894979803807,3.4651090304354115,31.97837105482334
1760.csv,Schubert,9,3.5261,5.6861,14.4389,2.2961,1.0,1.5978,7351,1.089735245309395,17.583333333333,1,26,0.5862585034013605,0.5427832947898246,1.3498118169863311,17.0,43.38842975206612,3.417132971044744,33.949201457261815
1756.csv,Schubert,9,3.4561,5.5309,12.2677,2.9435,1.0,1.5252,3408,0.794836857264662,6.9666666666667,1,14,0.2371587907249779,0.4122652582159624,0.5986624608762319,6.666666666667,58.6890243902439,2.94441635969302,32.53224361767387
1771.csv,Schubert,9,3.3267,5.2209,10.953,2.501,1.0,1.5592,5983,0.4870523568323962,3.95,1,19,0.1852223336676697,0.4736754136720709,0.434793024681043,3.75,26.27118644067797,3.2935891208302435,33.402838630377815
1765.csv,Schubert,9,3.3495,5.4542,13.1548,3.3376,1.0,1.6502,6369,0.4015622914428637,4.9333333333333,1,28,0.1350502512562814,0.2790076935154655,0.4739584968859253,3.0,57.001647446458,3.395355374301279,28.854682354946767
1734.csv,Schubert,9,3.2559,5.3591,11.0599,2.888,1.0,1.4658,2922,0.9216722267331786,8.95,1,19,0.3098824603446309,0.2556468172484599,0.6972108145106044,8.9,18.238993710691823,2.538556984895392,43.62896110856415
1728.csv,Schubert,9,3.3069,5.3145,12.1742,4.698,3.0006,1.5105,5545,1.1885015206603975,23.875,5,12,0.2172619047619047,0.4084761045987376,0.9286293958521138,23.0,37.74509803921568,1.7323802880591952,28.711690352866796
1752.csv,Schubert,9,3.2893,5.3895,13.5401,2.4508,1.0,1.4779,3889,0.5443782826126433,3.9666666666667,1,14,0.2698045267489712,0.4836718950887118,0.6526227822062227,3.5,25.391849529780565,3.3814748025074675,28.199055845056744
1776.csv,Schubert,9,3.3776,5.4102,11.3933,3.7321,1.0,1.5643,5104,0.4546326860710031,3.4666666666667,1,23,0.1222810111699,0.2733150470219436,0.4099317528735656,3.0,28.67274569402229,3.031345242012295,39.20176540795333
