file_name,composer,composer_label,pitch_entropy,rhythmic_entropy,average_interval_size,average_vertical_density,average_polyphonic_voices,fractal_dimension,num_notes,pitch_std,pitch_range,number_of_instruments,unique_note_values,average_beat_gap,most_common_note,average_note_length,largest_leap,orch_outer_voice_motion_index,orch_harmonic_change_entropy,orch_global_npvi
2677.csv,Beethoven,1,3.2332,5.2008,10.7932,3.1328,1.0,1.4623,3459,0.723159296195826,7.874999999997,1,14,0.2559282822440717,0.46487424111014747,0.8348420786346387,7.749999999997,17.892156862745097,2.9910087011771824,27.676494965769344
2147.csv,Brahms,2,3.2319,5.2032,11.0049,3.3846,2.2023,1.58,7741,0.86429947745917,17.750000000033,3,37,0.2605297157622739,0.4628600955948844,0.9000398312024248,16.9791666667,34.41769681197137,3.225652859834148,25.469318874652675
2607.csv,Beethoven,1,3.3084,5.1706,9.4251,2.835,1.0,1.4481,4409,0.8026171919659142,8.9583333333367,1,57,0.24682395644283123,0.6253118621002495,0.7461064489307585,8.500000000003,34.31855500821018,3.2120753017069497,30.724954076817685
1751.csv,Schubert,9,3.4603,5.308,10.7748,3.5864,1.0,1.4956,4304,1.0762976906498207,6.9666666666667,1,15,0.3274459679293516,0.2674256505576208,1.0467239776951602,6.9000000000001,38.66809881847476,1.886082694254492,44.410727155179934
2471.csv,Beethoven,1,3.3436,5.1521,9.541,2.7478,1.0,1.3612,1465,0.47088076604718265,3.9270833333366997,1,17,0.2226775956284153,0.6327645051194539,0.692235494881162,3.750000000003,33.33333333333333,3.0840445726500136,35.086582207536516
2504.csv,Beethoven,1,3.0815,4.815,11.197,4.2852,2.8736,1.513,5535,0.7790234596920342,15.75,4,15,0.18937477412359957,0.5074977416440831,0.8150406504065041,15.5,54.9171270718232,2.8756847613779657,26.000740742814912
1775.csv,Schubert,9,3.4436,5.603,11.939,2.514,1.0,1.6088,7495,0.5175952056013514,7.9666666666667,1,16,0.1921537229783827,0.5260840560373582,0.4536513231041155,7.666666666667,20.253894979803807,3.4651090304354115,31.97837105482334
2307.csv,Bach,0,3.3174,4.9627,10.2922,3.0446,1.0,1.2648,795,0.5558636910893398,5.75,1,13,0.20025188916876574,0.5761006289308176,0.6144654088050314,5.5,42.857142857142854,2.3947274686980182,30.083326286224793
2156.csv,Brahms,2,3.3444,5.3296,13.5627,4.4167,2.2262,1.4791,3534,0.6298168511301907,5.510416666667,3,24,0.19586753467308238,0.398981324278438,0.7966657234482352,5.25,42.71708683473389,2.1799866523628846,35.02458578584724
2568.csv,Beethoven,1,3.1998,5.1149,12.5779,2.8153,1.0,1.5503,4012,0.4026323540255005,7.4166666666633,1,14,0.1444776863625031,0.5755234297108675,0.43416625124582164,6.999999999997,70.22727272727273,3.2235745714238577,19.161099150030658
2204.csv,Bach,0,3.1188,4.065,2.9733,1.0,1.0,0.9125,301,0.30697186772528673,2.75,1,6,0.45,0.5116279069767442,0.45514950166112955,2.75,0.0,2.134782153752558,35.08395990124973
1760.csv,Schubert,9,3.5261,5.6861,14.4389,2.2961,1.0,1.5978,7351,1.089735245309395,17.583333333333,1,26,0.5862585034013605,0.5427832947898246,1.3498118169863313,17.0,43.388429752066116,3.4171329710447442,33.949201457261815
2480.csv,Beethoven,1,3.2374,5.2021,12.1863,2.6928,2.2087,1.5291,4103,0.5287682025892974,8.86458333333,3,19,0.22318381277425647,0.3297587131367292,0.5920997847098886,8.499999999997,44.94949494949495,3.0149351043864505,30.946878774235866
2410.csv,Beethoven,1,3.1945,5.0129,9.0936,2.9877,1.0,1.3967,2094,0.5613359370195469,7.9374999999966995,1,17,0.1853798375537506,0.3853868194842407,0.594162886022986,7.499999999997,41.22562674094708,2.2318140730321554,31.008892618746234
1817.csv,Mozart,7,3.1155,4.6184,9.0135,3.9694,2.2667,1.3185,2071,0.8634444394137981,6.865625,3,23,0.25169082125603864,0.2221149203283438,0.9867123370352486,6.5,23.629489603024574,2.1613239984500923,45.227872268301496
2537.csv,Beethoven,1,3.0016,4.7272,8.8449,1.9138,1.0,1.3875,2354,0.4448888446470245,3.9166666666634002,1,18,0.296217594560136,0.4167374681393373,0.5902895780230615,3.666666666663,66.40316205533597,2.7951273804080023,21.933167365937162
2283.csv,Bach,0,3.2292,4.9336,13.4318,2.8414,1.8626,1.4294,2326,0.7224699297971149,12.8333333333,2,15,0.24623655913978496,0.6418744625967326,0.7317103754652455,12.656249999967,50.122850122850124,3.0533438701727116,19.07106349623791
2180.csv,Ravel,8,3.4947,5.4148,8.8844,3.5536,2.414,1.4283,6851,0.7248751782715772,29.635416666667,4,56,0.1554744525547445,0.3717705444460663,0.5480054614898386,29.5,23.107569721115535,2.4619654621092746,24.79753963043655
2213.csv,Bach,0,3.2386,4.9277,11.4894,2.5532,1.0,1.2616,753,0.5441040567711687,9.85,1,53,0.16163563829787234,0.4913678618857902,0.4248063302346176,9.791666666667,41.66666666666667,3.0181535399559998,105.4229841916744
2522.csv,Beethoven,1,3.0934,5.1132,13.1528,3.3966,1.6132,1.4158,4431,0.7226146067938914,12.7395833333,2,14,0.3510158013544018,0.6653125705258407,1.0617218648906381,12.499999999967,47.544642857142854,2.421394428318906,36.29583395574993
2119.csv,Brahms,2,3.2067,5.1035,12.2645,2.8314,1.5102,1.4873,3162,0.3720909084306343,3.1583333333366697,2,61,0.13857692713265737,0.3402909550917141,0.42327377187444803,2.25,42.299794661190965,3.4065497404007785,57.992270963225394
